country,date,cases
United States,2020-01-22,1
United States,2020-01-23,1
United States,2020-01-24,2
United States,2020-01-25,2
United States,2020-01-26,5
United States,2020-01-27,5
United States,2020-01-28,5
United States,2020-01-29,5
United States,2020-01-30,5
United States,2020-01-31,7
United States,2020-02-01,8
United States,2020-02-02,8
United States,2020-02-03,11
United States,2020-02-04,11
United States,2020-02-05,11
United States,2020-02-06,11
United States,2020-02-07,11
United States,2020-02-08,11
United States,2020-02-09,11
United States,2020-02-10,11
United States,2020-02-11,12
United States,2020-02-12,12
United States,2020-02-13,13
United States,2020-02-14,13
United States,2020-02-15,13
United States,2020-02-16,13
United States,2020-02-17,13
United States,2020-02-18,13
United States,2020-02-19,13
United States,2020-02-20,13
United States,2020-02-21,15
United States,2020-02-22,15
United States,2020-02-23,15
United States,2020-02-24,51
United States,2020-02-25,51
United States,2020-02-26,57
United States,2020-02-27,58
United States,2020-02-28,60
United States,2020-02-29,68
United States,2020-03-01,74
United States,2020-03-02,98
United States,2020-03-03,118
United States,2020-03-04,149
United States,2020-03-05,217
United States,2020-03-06,262
United States,2020-03-07,402
United States,2020-03-08,518
United States,2020-03-09,583
United States,2020-03-10,959
United States,2020-03-11,1281
United States,2020-03-12,1663
United States,2020-03-13,2179
United States,2020-03-14,2727
United States,2020-03-15,3499
United States,2020-03-16,4632
United States,2020-03-17,6421
United States,2020-03-18,7783
United States,2020-03-19,13747
United States,2020-03-20,19273
United States,2020-03-21,25600
United States,2020-03-22,33276
United States,2020-03-23,43843
United States,2020-03-24,53736
United States,2020-03-25,65778
United States,2020-03-26,83836
United States,2020-03-27,101657
United States,2020-03-28,121465
United States,2020-03-29,140909
United States,2020-03-30,161831
United States,2020-03-31,188172
United States,2020-04-01,213242
United States,2020-04-02,243622
United States,2020-04-03,275367
United States,2020-04-04,308650
United States,2020-04-05,336802
United States,2020-04-06,366317
United States,2020-04-07,397121
United States,2020-04-08,428654
United States,2020-04-09,462780
United States,2020-04-10,496535
United States,2020-04-11,526396
United States,2020-04-12,555313
United States,2020-04-13,580619
United States,2020-04-14,607670
United States,2020-04-15,636350
United States,2020-04-16,667592
United States,2020-04-17,699706
United States,2020-04-18,732197
United States,2020-04-19,758809
United States,2020-04-20,784326
United States,2020-04-21,811865
United States,2020-04-22,840351
United States,2020-04-23,869170
United States,2020-04-24,905358
United States,2020-04-25,938154
United States,2020-04-26,965785
United States,2020-04-27,988197
United States,2020-04-28,1012582
United States,2020-04-29,1039909
United States,2020-04-30,1069424
United States,2020-05-01,1103461
United States,2020-05-02,1132539
United States,2020-05-03,1158040
United States,2020-05-04,1180375
United States,2020-05-05,1204351
United States,2020-05-06,1229331
United States,2020-05-07,1257023
United States,2020-05-08,1283929
United States,2020-05-09,1309550
United States,2020-05-10,1329260
United States,2020-05-11,1347881
United States,2020-05-12,1369376
United States,2020-05-13,1390406
United States,2020-05-14,1417774
India,2020-01-22,0
India,2020-01-23,0
India,2020-01-24,0
India,2020-01-25,0
India,2020-01-26,0
India,2020-01-27,0
India,2020-01-28,0
India,2020-01-29,0
India,2020-01-30,1
India,2020-01-31,1
India,2020-02-01,1
India,2020-02-02,2
India,2020-02-03,3
India,2020-02-04,3
India,2020-02-05,3
India,2020-02-06,3
India,2020-02-07,3
India,2020-02-08,3
India,2020-02-09,3
India,2020-02-10,3
India,2020-02-11,3
India,2020-02-12,3
India,2020-02-13,3
India,2020-02-14,3
India,2020-02-15,3
India,2020-02-16,3
India,2020-02-17,3
India,2020-02-18,3
India,2020-02-19,3
India,2020-02-20,3
India,2020-02-21,3
India,2020-02-22,3
India,2020-02-23,3
India,2020-02-24,3
India,2020-02-25,3
India,2020-02-26,3
India,2020-02-27,3
India,2020-02-28,3
India,2020-02-29,3
India,2020-03-01,3
India,2020-03-02,5
India,2020-03-03,5
India,2020-03-04,28
India,2020-03-05,30
India,2020-03-06,31
India,2020-03-07,34
India,2020-03-08,39
India,2020-03-09,43
India,2020-03-10,56
India,2020-03-11,62
India,2020-03-12,73
India,2020-03-13,82
India,2020-03-14,102
India,2020-03-15,113
India,2020-03-16,119
India,2020-03-17,142
India,2020-03-18,156
India,2020-03-19,194
India,2020-03-20,244
India,2020-03-21,330
India,2020-03-22,396
India,2020-03-23,499
India,2020-03-24,536
India,2020-03-25,657
India,2020-03-26,727
India,2020-03-27,887
India,2020-03-28,987
India,2020-03-29,1024
India,2020-03-30,1251
India,2020-03-31,1397
India,2020-04-01,1998
India,2020-04-02,2543
India,2020-04-03,2567
India,2020-04-04,3082
India,2020-04-05,3588
India,2020-04-06,4778
India,2020-04-07,5311
India,2020-04-08,5916
India,2020-04-09,6725
India,2020-04-10,7598
India,2020-04-11,8446
India,2020-04-12,9205
India,2020-04-13,10453
India,2020-04-14,11487
India,2020-04-15,12322
India,2020-04-16,13430
India,2020-04-17,14352
India,2020-04-18,15722
India,2020-04-19,17615
India,2020-04-20,18539
India,2020-04-21,20080
India,2020-04-22,21370
India,2020-04-23,23077
India,2020-04-24,24530
India,2020-04-25,26283
India,2020-04-26,27890
India,2020-04-27,29451
India,2020-04-28,31324
India,2020-04-29,33062
India,2020-04-30,34863
India,2020-05-01,37257
India,2020-05-02,39699
India,2020-05-03,42505
India,2020-05-04,46437
India,2020-05-05,49400
India,2020-05-06,52987
India,2020-05-07,56351
India,2020-05-08,59695
India,2020-05-09,62808
India,2020-05-10,67161
India,2020-05-11,70768
India,2020-05-12,74292
India,2020-05-13,78055
India,2020-05-14,81997
Italy,2020-01-22,0
Italy,2020-01-23,0
Italy,2020-01-24,0
Italy,2020-01-25,0
Italy,2020-01-26,0
Italy,2020-01-27,0
Italy,2020-01-28,0
Italy,2020-01-29,0
Italy,2020-01-30,0
Italy,2020-01-31,2
Italy,2020-02-01,2
Italy,2020-02-02,2
Italy,2020-02-03,2
Italy,2020-02-04,2
Italy,2020-02-05,2
Italy,2020-02-06,2
Italy,2020-02-07,3
Italy,2020-02-08,3
Italy,2020-02-09,3
Italy,2020-02-10,3
Italy,2020-02-11,3
Italy,2020-02-12,3
Italy,2020-02-13,3
Italy,2020-02-14,3
Italy,2020-02-15,3
Italy,2020-02-16,3
Italy,2020-02-17,3
Italy,2020-02-18,3
Italy,2020-02-19,3
Italy,2020-02-20,3
Italy,2020-02-21,20
Italy,2020-02-22,62
Italy,2020-02-23,155
Italy,2020-02-24,229
Italy,2020-02-25,322
Italy,2020-02-26,453
Italy,2020-02-27,655
Italy,2020-02-28,888
Italy,2020-02-29,1128
Italy,2020-03-01,1694
Italy,2020-03-02,2036
Italy,2020-03-03,2502
Italy,2020-03-04,3089
Italy,2020-03-05,3858
Italy,2020-03-06,4636
Italy,2020-03-07,5883
Italy,2020-03-08,7375
Italy,2020-03-09,9172
Italy,2020-03-10,10149
Italy,2020-03-11,12462
Italy,2020-03-12,12462
Italy,2020-03-13,17660
Italy,2020-03-14,21157
Italy,2020-03-15,24747
Italy,2020-03-16,27980
Italy,2020-03-17,31506
Italy,2020-03-18,35713
Italy,2020-03-19,41035
Italy,2020-03-20,47021
Italy,2020-03-21,53578
Italy,2020-03-22,59138
Italy,2020-03-23,63927
Italy,2020-03-24,69176
Italy,2020-03-25,74386
Italy,2020-03-26,80589
Italy,2020-03-27,86498
Italy,2020-03-28,92472
Italy,2020-03-29,97689
Italy,2020-03-30,101739
Italy,2020-03-31,105792
Italy,2020-04-01,110574
Italy,2020-04-02,115242
Italy,2020-04-03,119827
Italy,2020-04-04,124632
Italy,2020-04-05,128948
Italy,2020-04-06,132547
Italy,2020-04-07,135586
Italy,2020-04-08,139422
Italy,2020-04-09,143626
Italy,2020-04-10,147577
Italy,2020-04-11,152271
Italy,2020-04-12,156363
Italy,2020-04-13,159516
Italy,2020-04-14,162488
Italy,2020-04-15,165155
Italy,2020-04-16,168941
Italy,2020-04-17,172434
Italy,2020-04-18,175925
Italy,2020-04-19,178972
Italy,2020-04-20,181228
Italy,2020-04-21,183957
Italy,2020-04-22,187327
Italy,2020-04-23,189973
Italy,2020-04-24,192994
Italy,2020-04-25,195351
Italy,2020-04-26,197675
Italy,2020-04-27,199414
Italy,2020-04-28,201505
Italy,2020-04-29,203591
Italy,2020-04-30,205463
Italy,2020-05-01,207428
Italy,2020-05-02,209328
Italy,2020-05-03,210717
Italy,2020-05-04,211938
Italy,2020-05-05,213013
Italy,2020-05-06,214457
Italy,2020-05-07,215858
Italy,2020-05-08,217185
Italy,2020-05-09,218268
Italy,2020-05-10,219070
Italy,2020-05-11,219814
Italy,2020-05-12,221216
Italy,2020-05-13,222104
Italy,2020-05-14,223096
Canada,2020-01-22,0
Canada,2020-01-23,0
Canada,2020-01-24,0
Canada,2020-01-25,0
Canada,2020-01-26,0
Canada,2020-01-27,0
Canada,2020-01-28,0
Canada,2020-01-29,0
Canada,2020-01-30,0
Canada,2020-01-31,0
Canada,2020-02-01,0
Canada,2020-02-02,0
Canada,2020-02-03,0
Canada,2020-02-04,0
Canada,2020-02-05,0
Canada,2020-02-06,0
Canada,2020-02-07,0
Canada,2020-02-08,0
Canada,2020-02-09,0
Canada,2020-02-10,0
Canada,2020-02-11,0
Canada,2020-02-12,0
Canada,2020-02-13,0
Canada,2020-02-14,0
Canada,2020-02-15,0
Canada,2020-02-16,0
Canada,2020-02-17,0
Canada,2020-02-18,0
Canada,2020-02-19,0
Canada,2020-02-20,0
Canada,2020-02-21,0
Canada,2020-02-22,0
Canada,2020-02-23,0
Canada,2020-02-24,0
Canada,2020-02-25,0
Canada,2020-02-26,0
Canada,2020-02-27,0
Canada,2020-02-28,0
Canada,2020-02-29,0
Canada,2020-03-01,0
Canada,2020-03-02,0
Canada,2020-03-03,0
Canada,2020-03-04,0
Canada,2020-03-05,0
Canada,2020-03-06,1
Canada,2020-03-07,2
Canada,2020-03-08,4
Canada,2020-03-09,7
Canada,2020-03-10,7
Canada,2020-03-11,19
Canada,2020-03-12,19
Canada,2020-03-13,29
Canada,2020-03-14,29
Canada,2020-03-15,39
Canada,2020-03-16,56
Canada,2020-03-17,74
Canada,2020-03-18,97
Canada,2020-03-19,119
Canada,2020-03-20,146
Canada,2020-03-21,195
Canada,2020-03-22,259
Canada,2020-03-23,301
Canada,2020-03-24,359
Canada,2020-03-25,358
Canada,2020-03-26,486
Canada,2020-03-27,542
Canada,2020-03-28,542
Canada,2020-03-29,621
Canada,2020-03-30,661
Canada,2020-03-31,690
Canada,2020-04-01,754
Canada,2020-04-02,969
Canada,2020-04-03,969
Canada,2020-04-04,1075
Canada,2020-04-05,1181
Canada,2020-04-06,1250
Canada,2020-04-07,1373
Canada,2020-04-08,1373
Canada,2020-04-09,1423
Canada,2020-04-10,1451
Canada,2020-04-11,1567
Canada,2020-04-12,1567
Canada,2020-04-13,1732
Canada,2020-04-14,1870
Canada,2020-04-15,1870
Canada,2020-04-16,1996
Canada,2020-04-17,2397
Canada,2020-04-18,2562
Canada,2020-04-19,2803
Canada,2020-04-20,2908
Canada,2020-04-21,3095
Canada,2020-04-22,3401
Canada,2020-04-23,3720
Canada,2020-04-24,4017
Canada,2020-04-25,4233
Canada,2020-04-26,4480
Canada,2020-04-27,4696
Canada,2020-04-28,4850
Canada,2020-04-29,5165
Canada,2020-04-30,5355
Canada,2020-05-01,5573
Canada,2020-05-02,5670
Canada,2020-05-03,5766
Canada,2020-05-04,5836
Canada,2020-05-05,5893
Canada,2020-05-06,5963
Canada,2020-05-07,6017
Canada,2020-05-08,6098
Canada,2020-05-09,6157
Canada,2020-05-10,6253
Canada,2020-05-11,6300
Canada,2020-05-12,6345
Canada,2020-05-13,6407
Canada,2020-05-14,6457
Spain,2020-01-22,0
Spain,2020-01-23,0
Spain,2020-01-24,0
Spain,2020-01-25,0
Spain,2020-01-26,0
Spain,2020-01-27,0
Spain,2020-01-28,0
Spain,2020-01-29,0
Spain,2020-01-30,0
Spain,2020-01-31,0
Spain,2020-02-01,1
Spain,2020-02-02,1
Spain,2020-02-03,1
Spain,2020-02-04,1
Spain,2020-02-05,1
Spain,2020-02-06,1
Spain,2020-02-07,1
Spain,2020-02-08,1
Spain,2020-02-09,2
Spain,2020-02-10,2
Spain,2020-02-11,2
Spain,2020-02-12,2
Spain,2020-02-13,2
Spain,2020-02-14,2
Spain,2020-02-15,2
Spain,2020-02-16,2
Spain,2020-02-17,2
Spain,2020-02-18,2
Spain,2020-02-19,2
Spain,2020-02-20,2
Spain,2020-02-21,2
Spain,2020-02-22,2
Spain,2020-02-23,2
Spain,2020-02-24,2
Spain,2020-02-25,6
Spain,2020-02-26,13
Spain,2020-02-27,15
Spain,2020-02-28,32
Spain,2020-02-29,45
Spain,2020-03-01,84
Spain,2020-03-02,120
Spain,2020-03-03,165
Spain,2020-03-04,222
Spain,2020-03-05,259
Spain,2020-03-06,400
Spain,2020-03-07,500
Spain,2020-03-08,673
Spain,2020-03-09,1073
Spain,2020-03-10,1695
Spain,2020-03-11,2277
Spain,2020-03-12,2277
Spain,2020-03-13,5232
Spain,2020-03-14,6391
Spain,2020-03-15,7798
Spain,2020-03-16,9942
Spain,2020-03-17,11748
Spain,2020-03-18,13910
Spain,2020-03-19,17963
Spain,2020-03-20,20410
Spain,2020-03-21,25374
Spain,2020-03-22,28768
Spain,2020-03-23,35136
Spain,2020-03-24,39885
Spain,2020-03-25,49515
Spain,2020-03-26,57786
Spain,2020-03-27,65719
Spain,2020-03-28,73235
Spain,2020-03-29,80110
Spain,2020-03-30,87956
Spain,2020-03-31,95923
Spain,2020-04-01,104118
Spain,2020-04-02,112065
Spain,2020-04-03,119199
Spain,2020-04-04,126168
Spain,2020-04-05,131646
Spain,2020-04-06,136675
Spain,2020-04-07,141942
Spain,2020-04-08,148220
Spain,2020-04-09,153222
Spain,2020-04-10,158273
Spain,2020-04-11,163027
Spain,2020-04-12,166831
Spain,2020-04-13,170099
Spain,2020-04-14,172541
Spain,2020-04-15,177644
Spain,2020-04-16,184948
Spain,2020-04-17,190839
Spain,2020-04-18,191726
Spain,2020-04-19,198674
Spain,2020-04-20,200210
Spain,2020-04-21,204178
Spain,2020-04-22,208389
Spain,2020-04-23,213024
Spain,2020-04-24,202990
Spain,2020-04-25,205905
Spain,2020-04-26,207634
Spain,2020-04-27,209465
Spain,2020-04-28,210773
Spain,2020-04-29,212917
Spain,2020-04-30,213435
Spain,2020-05-01,215216
Spain,2020-05-02,216582
Spain,2020-05-03,217466
Spain,2020-05-04,218011
Spain,2020-05-05,219329
Spain,2020-05-06,220325
Spain,2020-05-07,221447
Spain,2020-05-08,222857
Spain,2020-05-09,223578
Spain,2020-05-10,224350
Spain,2020-05-11,227436
Spain,2020-05-12,228030
Spain,2020-05-13,228691
Spain,2020-05-14,229540
France,2020-01-22,0
France,2020-01-23,0
France,2020-01-24,0
France,2020-01-25,0
France,2020-01-26,0
France,2020-01-27,0
France,2020-01-28,0
France,2020-01-29,0
France,2020-01-30,0
France,2020-01-31,0
France,2020-02-01,0
France,2020-02-02,0
France,2020-02-03,0
France,2020-02-04,0
France,2020-02-05,0
France,2020-02-06,0
France,2020-02-07,0
France,2020-02-08,0
France,2020-02-09,0
France,2020-02-10,0
France,2020-02-11,0
France,2020-02-12,0
France,2020-02-13,0
France,2020-02-14,0
France,2020-02-15,0
France,2020-02-16,0
France,2020-02-17,0
France,2020-02-18,0
France,2020-02-19,0
France,2020-02-20,0
France,2020-02-21,0
France,2020-02-22,0
France,2020-02-23,0
France,2020-02-24,0
France,2020-02-25,0
France,2020-02-26,0
France,2020-02-27,0
France,2020-02-28,0
France,2020-02-29,0
France,2020-03-01,0
France,2020-03-02,0
France,2020-03-03,0
France,2020-03-04,0
France,2020-03-05,0
France,2020-03-06,0
France,2020-03-07,5
France,2020-03-08,5
France,2020-03-09,5
France,2020-03-10,5
France,2020-03-11,5
France,2020-03-12,5
France,2020-03-13,5
France,2020-03-14,5
France,2020-03-15,7
France,2020-03-16,11
France,2020-03-17,11
